,sentences1,sentences2,is_similar
0,What is the step by step guide to invest in share market in india?,What is the step by step guide to invest in share market?,0
1,What is the story of Kohinoor (Koh-i-Noor) Diamond?,What would happen if the Indian government stole the Kohinoor (Koh-i-Noor) diamond back?,0
2,How can I increase the speed of my internet connection while using a VPN?,How can Internet speed be increased by hacking through DNS?,0
3,Why am I mentally very lonely? How can I solve it?,"Find the remainder when [math]23^{24}[/math] is divided by 24,23?",0
4,"Which one dissolve in water quikly sugar, salt, methane and carbon di oxide?",Which fish would survive in salt water?,0
5,Astrology: I am a Capricorn Sun Cap moon and cap rising...what does that say about me?,"I'm a triple Capricorn (Sun, Moon and ascendant in Capricorn) What does this say about me?",1
6,Should I buy tiago?,What keeps childern active and far from phone and video games?,0
7,How can I be a good geologist?,What should I do to be a great geologist?,1
8,When do you use シ instead of し?,"When do you use ""&"" instead of ""and""?",0
9,Motorola (company): Can I hack my Charter Motorolla DCX3400?,How do I hack Motorola DCX3400 for free internet?,0
10,Method to find separation of slits using fresnel biprism?,What are some of the things technicians can tell about the durability and reliability of Laptops and its components?,0
11,How do I read and find my YouTube comments?,How can I see all my Youtube comments?,1
12,What can make Physics easy to learn?,How can you make physics easy to learn?,1
13,What was your first sexual experience like?,What was your first sexual experience?,1
14,"What are the laws to change your status from a student visa to a green card in the US, how do they compare to the immigration laws in Canada?",What are the laws to change your status from a student visa to a green card in the US? How do they compare to the immigration laws in Japan?,0
15,What would a Trump presidency mean for current international master’s students on an F1 visa?,How will a Trump presidency affect the students presently in US or planning to study in US?,1
16,What does manipulation mean?,What does manipulation means?,1
17,Why do girls want to be friends with the guy they reject?,How do guys feel after rejecting a girl?,0
18,Why are so many Quora users posting questions that are readily answered on Google?,Why do people ask Quora questions which can be answered easily by Google?,1
19,Which is the best digital marketing institution in banglore?,Which is the best digital marketing institute in Pune?,0
20,Why do rockets look white?,Why are rockets and boosters painted white?,1
21,What's causing someone to be jealous?,What can I do to avoid being jealous of someone?,0
22,What are the questions should not ask on Quora?,Which question should I ask on Quora?,0
23,How much is 30 kV in HP?,Where can I find a conversion chart for CC to horsepower?,0
24,What does it mean that every time I look at the clock the numbers are the same?,How many times a day do a clock’s hands overlap?,0
25,What are some tips on making it through the job interview process at Medicines?,What are some tips on making it through the job interview process at Foundation Medicine?,0
26,What is web application?,What is the web application framework?,0
27,Does society place too much importance on sports?,How do sports contribute to the society?,0
28,What is best way to make money online?,What is best way to ask for money online?,0
29,How should I prepare for CA final law?,How one should know that he/she completely prepare for CA final exam?,1
30,What's one thing you would like to do better?,What's one thing you do despite knowing better?,0
31,What are some special cares for someone with a nose that gets stuffy during the night?,How can I keep my nose from getting stuffy at night?,1
32,What Game of Thrones villain would be the most likely to give you mercy?,What Game of Thrones villain would you most like to be at the mercy of?,1
33,"Does the United States government still blacklist (employment, etc.) some United States citizens because their political views?",How is the average speed of gas molecules determined?,0
34,What is the best travel website in spain?,What is the best travel website?,0
35,Why do some people think Obama will try to take their guns away?,Has there been a gun control initiative to take away guns people already own?,0
36,I'm a 19-year-old. How can I improve my skills or what should I do to become an entrepreneur in the next few years?,I am a 19 year old guy. How can I become a billionaire in the next 10 years?,0
37,"When a girlfriend asks her boyfriend ""Why did you choose me? What makes you want to be with me?"", what should one reply to her?",My girlfriend said that we should end this because she is confused about her feelings for me. I wished her well and disconnected. Should I call her and ask her if she wants to get back together?,0
38,How do we prepare for UPSC?,How do I prepare for civil service?,1
39,What is the stall speed and AOA of an f-14 with wings fully swept back?,"Why did aircraft stop using variable-sweep wings, like those on an F-14?",0
40,Why do Slavs squat?,Will squats make my legs thicker?,0
41,When can I expect my Cognizant confirmation mail?,When can I expect Cognizant confirmation mail?,0
42,"Can I make 50,000 a month by day trading?","Can I make 30,000 a month by day trading?",0
43,Is being a good kid and not being a rebel worth it in the long run?,Is being bored good for a kid?,0
44,What universities does Rexnord recruit new grads from? What majors are they looking for?,What universities does B&G Foods recruit new grads from? What majors are they looking for?,0
45,What is the quickest way to increase Instagram followers?,How can we increase our number of Instagram followers?,0
46,How did Darth Vader fought Darth Maul in Star Wars Legends?,Does Quora have a character limit for profile descriptions?,0
47,"What are the stages of breaking up between couple? I mean, what happens after the breaking up emotionally whether its a male or female?","Who is affected more by a breakup, the boy or the girl?",0
48,What are some examples of products that can be make from crude oil?,What are some of the products made from crude oil?,1
49,How do I make friends.,How to make friends ?,1
50,Is Career Launcher good for RBI Grade B preparation?,How is career launcher online program for RBI Grade B?,1
51,"Will a Blu Ray play on a regular DVD player? If so, how?",How can you play a Blu Ray DVD on a regular DVD player?,1
52,Nd she is always sad?,Aerodynamically what happens when propellor rotates?,0
53,What is the best/most memorable thing you've ever eaten and why?,What is the most delicious dish you've ever eaten and why?,1
54,How GST affects the CAs and tax officers?,Why can't I do my homework?,0
55,How difficult is it get into RSI?,Do you apply for programs like RSI when you're a rising senior?,0
56,Who is israil friend?,Is my boyfriend lying about his true feelings for his friend and is he secretly attracted to her?,0
57,What are some good rap songs to dance to?,What are some of the best rap songs?,0
58,I was suddenly logged off Gmail. I can't remember my Gmail password and just realized the recovery email is no longer alive. What can I do?,I can't remember my Gmail password or my recovery email. How can I recover my e-mail?,1
59,What are the best ways to learn French?,How do I learn french genders?,0
60,How do I download content from a kickass torrent without registration?,Is Kickass Torrents trustworthy?,0
61,Is it normal to have a dark ring around the iris of my eye?,What causes a dark ring around the iris? How should it be treated?,0
62,How is the new Harry Potter book 'Harry Potter and the Cursed Child'?,How bad is the new book by J.K Rowling?,1
63,Why do I always get depressed?,Why do I always get depressed in the evening?,0
64,Where can I find a European family office database?,Where do I find a U.S. family office database?,0
65,What is Java programming? How To Learn Java Programming Language ?,How do I learn a computer language like java?,1
66,What is the best book ever made?,What is the most important book you have ever read?,1
67,Can we ever store energy produced in lightning?,Is it possible to store the energy of lightning?,1
68,What is your review of Performance Testing?,What is performance testing?,0
69,At what cost does so much privacy as in Germany come? What else is lost to gain so much privacy?,Are there any people who genuinely enjoy salad with no dressing?,0
70,What are the types of immunity?,What are the different types of immunity in our body?,0
71,What is a narcissistic personality disorder?,What is narcissistic personality disorder?,1
72,How I can speak English fluently?,How can I learn to speak English fluently?,1
73,How helpful is QuickBooks' auto data recovery support phone number to recover your corrupted data files?,What is the quickbooks customer support phone number USA?,1
74,Who is the richest gambler of all time and how can I reach his level?,Who is the richest gambler of all time and how can I reach his level as a gambler?,1
75,If I fire a bullet backward from an aircraft going faster than the bullet, will the bullet be going backwards?,0
76,How do I prevent breast cancer?,Is breast cancer preventable?,0
77,How do I log out of my Gmail account on my friend's phone?,How can I know who logged in to my Gmail account? (by telling his IP address or device name)?,0
78,How can I make money through the Internet?,"What are some different ways to make money online, excluding selling things?",0
79,What is purpose of life?,What's the purpose of life? What is life actually about?,1
80,When will the BJP government strip all the Muslims and the Christians of the Indian citizenship and put them on boats like the Rohingya's of Burma?,"Why India does not apply the ""Burma-Rohingya model"" to deport illegal Bangladeshis?",0
81,What is the right etiquette for wishing a Jehovah Witness happy birthday?,How important is it to be the first person to wish someone a happy birthday?,0
82,"If someone wants to open a commercial FM radio station in any city of India, how much does it cost and what is the procedure?","I want to make a travel commercial/clip video HD , For India and New Zealand. How much will it cost?",0
83,Why do Swiss despise Asians?,Why do technical employees despise sales people so much?,0
84,What are some of the high salary income jobs in the field of biotechnology?,What are some high paying jobs for a fresher with an M.Tech in biotechnology?,1
85,How can I increase my height after 21 also?,Can height increase after 25?,1
86,"What were the major effects of the cambodia earthquake, and how do these effects compare to the Kamchatca earthquakes in 1952?","What were the major effects of the cambodia earthquake, and how do these effects compare to the Valparaiso earthquake in 1822?",1
87,What is the difference between sincerity and fairness?,What's the difference between honest and sincere?,0
88,Which is the best gaming laptop under 60k INR?,Which is the best gaming laptop under Rs 60000?,1
89,What is your review of The Next Warrior: Proving Grounds - Part 9?,What is your review of The Next Warrior: Proving Grounds - Part 5?,0
90,What is the best reference book for physics class 11th?,"Which book should I choose for reference for physics and chemistry (class 11, CBSE board)?",0
